service_id,shape_id,num_trips,avg_trip_duration,example_trip_id,trip_headsign,num_stops,total_distance
FE,068_A,92,49.49981884057971,FE0680012,Circular 1,31.0,9648.0
FE,068_B,91,39.74578754578754,FE0680011,Circular 1,26.0,8112.0
FE,116_A,36,57.37285714285714,FE1160012,Villaverde Cruce,45.0,12544.0
FE,116_B,36,60.016666666666666,FE1160011,Embajadores,43.0,13282.0
FE,203_A,57,39.05863095238096,FE2030011,Aeropuerto,6.0,21967.0
FE,203_B,58,48.919005847953215,FE2030012,Estacion Atocha,6.0,24705.0
LA,068_A,204,55.27393790849673,LA0680011,Circular 1,31.0,9648.0
LA,068_B,203,44.230377668308705,LA0680012,Circular 1,26.0,8112.0
LA,116_A,77,61.35,LA1160012,Villaverde Cruce,45.0,12544.0
LA,116_B,79,66.11160337552742,LA1160011,Embajadores,43.0,13282.0
LA,203_A,67,44.9989898989899,LA2030011,Aeropuerto,6.0,21967.0
LA,203_B,68,56.820646766169155,LA2030012,Estacion Atocha,6.0,24705.0
LA,455_A,79,25.349789029535867,LA4550011,las Tablas,13.0,7056.0
LA,455_B,76,25.11951754385965,LA4550012,Est. Fuencarral,13.0,7826.0
SA,068_A,122,51.028961748633876,SA0680011,Circular 1,31.0,9648.0
SA,068_B,118,40.768233618233616,SA0680012,Circular 1,26.0,8112.0
SA,116_A,42,56.515040650406505,SA1160012,Villaverde Cruce,45.0,12544.0
SA,116_B,43,59.36627906976744,SA1160011,Embajadores,43.0,13282.0
SA,203_A,59,39.125,SA2030011,Aeropuerto,6.0,21967.0
SA,203_B,60,48.80338983050847,SA2030012,Estacion Atocha,6.0,24705.0
